Gene,log2FoldChange,pvalue,padj,minus_log10_pvalue,Change
CDK18,-0.2121,0.5409,0.9994,0.266883019,Similar
LOC284578,-0.005231,0.9892,0.9994,0.004715892,Similar
MFSD4,0.3177,0.1867,0.9994,0.728855682,Similar
ELK4,-0.3571,0.3011,0.9994,0.521289244,Similar
SLC45A3,0.0606,0.8509,0.9994,0.070121476,Similar
NUCKS1,-0.113,0.4282,0.9994,0.368353337,Similar
SLC41A1,-0.04938,0.7674,0.9994,0.114978205,Similar
LOC284581,0.1634,0.6326,0.9994,0.198870812,Similar
SLC26A9,0.4206,0.2673,0.9994,0.573001041,Similar
FAM72A,-0.4053,0.3011,0.9994,0.521289244,Similar
SRGAP2,-0.006922,0.9717,0.9994,0.012467797,Similar
IKBKE,-0.454,0.2461,0.9994,0.608888386,Similar
RASSF5,-0.3345,0.3643,0.9994,0.438540829,Similar
DYRK3,0.2611,0.2265,0.9994,0.644931794,Similar
MAPKAPK2,0.06355,0.5366,0.9994,0.270349332,Similar
C1orf116,-0.04103,0.9166,0.9994,0.037820147,Similar
YOD1,-0.06722,0.8535,0.9994,0.068796475,Similar
PFKFB2,-0.2082,0.3369,0.9994,0.472498989,Similar
CD46,-0.1173,0.6843,0.9994,0.16475346,Similar
PLXNA2,0.0145,0.9633,0.9994,0.01623844,Similar
LAMB3,0.4107,0.2319,0.9994,0.634699251,Similar
G0S2,-0.1692,0.6183,0.9994,0.208800754,Similar
TRAF3IP3,-0.152,0.6781,0.9994,0.168706256,Similar
C1orf74,0.07813,0.8241,0.9994,0.084020086,Similar
IRF6,-0.07764,0.8243,0.9994,0.0839147,Similar
DIEXF,0.1711,0.2117,0.9994,0.674279142,Similar
SYT14,0.2469,0.1604,0.9994,0.794795636,Similar
SERTAD4,-0.4131,0.2236,0.9994,0.650528201,Similar
LINC00467,-0.1146,0.6602,0.9994,0.18032448,Similar
RD3,0.2822,0.4147,0.9994,0.382265965,Similar
LPGAT1,0.1123,0.4258,0.9994,0.370794343,Similar
INTS7,0.1233,0.4153,0.9994,0.381638069,Similar
DTL,-0.3374,0.3508,0.9994,0.454940415,Similar
PPP2R5A,-0.2914,0.1272,0.9994,0.895512889,Similar
TMEM206,-0.02836,0.8656,0.9994,0.062682752,Similar
NENF,-0.4958,0.1122,0.9994,0.950007143,Similar
BATF3,-0.05013,0.8964,0.9994,0.047498152,Similar
NSL1,-0.04977,0.7058,0.9994,0.151318346,Similar
TATDN3,0.2089,0.2963,0.9994,0.528268349,Similar
C1orf227,-0.05455,0.8882,0.9994,0.051489231,Similar
FLVCR1-AS1,-0.145,0.6988,0.9994,0.155647104,Similar
FLVCR1,-0.1174,0.6281,0.9994,0.201971207,Similar
VASH2,0.07595,0.8169,0.9994,0.087831104,Similar
ANGEL2,0.01976,0.8707,0.9994,0.060131456,Similar
RPS6KC1,0.1561,0.4738,0.9994,0.324404944,Similar
PROX1-AS1,0.3979,0.2085,0.9994,0.680893941,Similar
LINC00538,0.426,0.2755,0.9994,0.559878397,Similar
PROX1,0.07435,0.814,0.9994,0.089375595,Similar
SMYD2,-0.3452,0.2185,0.9994,0.660548559,Similar
KCTD3,-0.1356,0.5503,0.9994,0.259400487,Similar
USH2A,0.2268,0.5628,0.9994,0.249645911,Similar
GPATCH2,0.1045,0.4793,0.9994,0.319392571,Similar
SPATA17,0.1432,0.6802,0.9994,0.167363372,Similar
RRP15,0.1144,0.6814,0.9994,0.166597871,Similar
LOC728463,0.1165,0.7516,0.9994,0.124013229,Similar
TGFB2,0.235,0.4851,0.9994,0.314168725,Similar
LOC643723,0.3265,0.3974,0.9994,0.400772137,Similar
LYPLAL1,0.06877,0.7776,0.9994,0.109243748,Similar
SLC30A10,0.114,0.7579,0.9994,0.120388093,Similar
EPRS,-0.09549,0.5569,0.9994,0.254222782,Similar
IARS2,0.009981,0.9672,0.9994,0.014483712,Similar
RAB3GAP2,-0.06806,0.715,0.9994,0.145693958,Similar
AURKAPS1,0.2371,0.5014,0.9994,0.29981567,Similar
MARK1,0.1406,0.1708,0.9994,0.767512134,Similar
Mar-01,-0.1923,0.4407,0.9994,0.355856949,Similar
HHIPL2,0.2328,0.5497,0.9994,0.259874263,Similar
TAF1A,0.1254,0.4272,0.9994,0.369368756,Similar
MIA3,0.01788,0.9039,0.9994,0.043879614,Similar
BROX,0.04828,0.8286,0.9994,0.081655071,Similar
DISP1,-0.2241,0.4059,0.9994,0.391580949,Similar
TLR5,-0.1956,0.5748,0.9994,0.240483241,Similar
SUSD4,0.1933,0.5071,0.9994,0.294906389,Similar
FBXO28,0.0807,0.6562,0.9994,0.182963774,Similar
DEGS1,-0.1255,0.6424,0.9994,0.192194468,Similar
NVL,0.09242,0.6132,0.9994,0.212397854,Similar
CNIH4,-0.16,0.4266,0.9994,0.369979149,Similar
WDR26,0.04026,0.8246,0.9994,0.08375667,Similar
DNAH14,-0.05755,0.7787,0.9994,0.108629825,Similar
